TIME,IP Address,RNTI,SNR RU1,SNR RU2,SNR RU3,X,Y
2024-10-23T14:04:27.126000Z,10.45.2.1,17029,20.9019832611084,28.02497100830078,27.32597541809082,9.800000190734863,27.20000076293945
2024-10-23T14:04:27.126000Z,10.45.1.1,17042,29.18887710571289,26.71185684204102,26.12234306335449,1.100582599639893,24.80091285705566
2024-10-23T14:04:27.126000Z,10.45.7.1,17077,32.61180877685547,20.33368492126465,18.65434837341309,3.900000095367432,1.5
2024-10-23T14:04:27.157000Z,10.45.2.1,17029,29.59099006652832,31.24227714538574,32.42378997802734,10.30000019073486,27.20000076293945
2024-10-23T14:04:27.157000Z,10.45.1.1,17042,27.1939754486084,18.57146072387695,19.2297534942627,1.207254409790039,24.89186668395996
2024-10-23T14:04:27.157000Z,10.45.7.1,17077,30.9834041595459,12.53354930877686,12.00731658935547,3.900000095367432,1.200000047683716
2024-10-23T14:04:27.245000Z,10.45.2.1,17029,29.59099006652832,31.24227714538574,32.42378997802734,10.30000019073486,27.20000076293945
2024-10-23T14:04:27.245000Z,10.45.1.1,17042,27.1939754486084,18.57146072387695,19.2297534942627,1.207254409790039,24.89186668395996
2024-10-23T14:04:27.245000Z,10.45.7.1,17077,30.9834041595459,12.53354930877686,12.00731658935547,3.900000095367432,1.200000047683716
2024-10-23T14:04:27.275000Z,10.45.2.1,17029,19.43219947814941,27.13280487060547,26.88075637817383,9.760687828063965,27.16756629943848
2024-10-23T14:04:27.275000Z,10.45.1.1,17042,28.44838333129883,25.68994903564453,25.45524787902832,1.109722137451172,24.83829498291016
2024-10-23T14:04:27.275000Z,10.45.7.1,17077,32.47192001342773,21.19331550598145,19.16465377807617,4.099999904632568,1.600000023841858
2024-10-23T14:04:27.430000Z,10.45.2.1,17029,28.42210006713867,31.42112159729004,32.23334503173828,10.10000038146973,27.20000076293945
2024-10-23T14:04:27.430000Z,10.45.1.1,17042,28.14545059204102,21.91825485229492,21.7061824798584,1.362552523612976,24.94686317443848
2024-10-23T14:04:27.430000Z,10.45.7.1,17077,31.19434547424316,14.1640796661377,14.7101411819458,4.0,1.200000047683716
2024-10-23T14:04:27.440000Z,10.45.2.1,17029,19.44575500488281,26.7149486541748,24.81956100463867,9.800000190734863,27.29999923706055
2024-10-23T14:04:27.440000Z,10.45.1.1,17042,28.32950782775879,25.74570655822754,25.6480655670166,1.036149978637695,24.95461463928223
2024-10-23T14:04:27.440000Z,10.45.7.1,17077,32.60710144042969,21.28886032104492,19.12583351135254,4.099999904632568,1.700000047683716
2024-10-23T14:04:27.585000Z,10.45.2.1,17029,28.29478073120117,31.31021881103516,31.90937042236328,9.800000190734863,27.29999923706055
2024-10-23T14:04:27.585000Z,10.45.1.1,17042,28.35026168823242,22.30415153503418,21.95510864257812,1.288609027862549,25.28830146789551
2024-10-23T14:04:27.585000Z,10.45.7.1,17077,31.52930641174316,15.16535472869873,15.3001070022583,4.099999904632568,1.200000047683716
2024-10-23T14:04:27.596000Z,10.45.2.1,17029,19.42231178283691,25.55778694152832,24.44879722595215,9.800000190734863,27.20000076293945
2024-10-23T14:04:27.596000Z,10.45.1.1,17042,27.27320671081543,25.23708724975586,24.6723690032959,0.9706979990005493,25.03368186950684
2024-10-23T14:04:27.596000Z,10.45.7.1,17077,32.69208526611328,21.74057960510254,19.42689323425293,4.199999809265137,1.799999952316284
2024-10-23T14:04:27.773000Z,10.45.2.1,17029,19.78833198547363,26.35173797607422,24.13358116149902,9.899999618530273,27.10000038146973
2024-10-23T14:04:27.773000Z,10.45.1.1,17042,27.35014152526855,24.98085403442383,24.64480018615723,1.10882842540741,24.83027267456055
2024-10-23T14:04:27.773000Z,10.45.7.1,17077,33.23513031005859,21.89665222167969,19.93062591552734,4.300000190734863,1.899999976158142
2024-10-23T14:04:27.927000Z,10.45.2.1,17029,19.99000930786133,26.20486450195312,23.38859939575195,9.800000190734863,27.0
2024-10-23T14:04:27.927000Z,10.45.1.1,17042,27.32062911987305,24.90204048156738,24.54404640197754,1.044533610343933,24.62712097167969
2024-10-23T14:04:27.927000Z,10.45.7.1,17077,33.35791015625,21.52385711669922,19.88897323608398,4.269125938415527,1.825466513633728
2024-10-23T14:04:27.945000Z,10.45.2.1,17029,29.68442344665527,30.83873176574707,32.51996612548828,10.0,27.20000076293945
2024-10-23T14:04:27.945000Z,10.45.1.1,17042,26.98864555358887,19.93988609313965,18.89602851867676,1.265100121498108,25.13843154907227
2024-10-23T14:04:27.945000Z,10.45.7.1,17077,32.2103271484375,14.16952610015869,14.49375152587891,4.0,1.200000047683716
2024-10-23T14:04:28.079000Z,10.45.2.1,17029,20.17274856567383,27.44292259216309,24.39163017272949,9.899999618530273,27.0
2024-10-23T14:04:28.079000Z,10.45.1.1,17042,30.32228469848633,27.67840766906738,27.50634002685547,0.8438737392425537,24.85302543640137
2024-10-23T14:04:28.079000Z,10.45.7.1,17077,32.49942779541016,20.47134017944336,19.08458709716797,4.300000190734863,2.0
2024-10-23T14:04:28.244000Z,10.45.2.1,17029,20.91856384277344,26.50395011901855,25.01109886169434,9.817434310913086,26.96598815917969
2024-10-23T14:04:28.244000Z,10.45.1.1,17042,30.15217781066895,27.69144058227539,27.57093620300293,0.8322847485542297,24.93764495849609
2024-10-23T14:04:28.244000Z,10.45.7.1,17077,32.44610977172852,20.41204071044922,19.57470512390137,4.099999904632568,2.0
2024-10-23T14:04:28.399000Z,10.45.2.1,17029,20.6710090637207,26.68245315551758,24.89562225341797,9.800000190734863,26.89999961853027
