point_id,ts,anchor_ids,ranges,ref
A13B6,1729686551596,"[1, 2, 3, 4, 5]","[nan, 37.83, 44.71, 26.85, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686552124,"[1, 2, 3, 4, 5]","[48.59, nan, 44.78, 26.93, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686552652,"[1, 2, 3, 4, 5]","[48.44, nan, 44.78, 29.93, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686553228,"[1, 2, 3, 4, 5]","[48.44, 37.83, 44.56, 26.85, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686553772,"[1, 2, 3, 4, 5]","[54.51, nan, 44.64, 29.93, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686554268,"[1, 2, 3, 4, 5]","[57.3, nan, 44.49, 26.78, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686554764,"[1, 2, 3, 4, 5]","[57.15, nan, 44.34, 26.85, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686555307,"[1, 2, 3, 4, 5]","[54.44, nan, 44.42, 26.93, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686555835,"[1, 2, 3, 4, 5]","[51.37, nan, 39.73, 20.92, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686556300,"[1, 2, 3, 4, 5]","[54.66, nan, 44.85, 27.0, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686556763,"[1, 2, 3, 4, 5]","[54.51, nan, 44.93, 21.0, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686557212,"[1, 2, 3, 4, 5]","[54.51, 37.83, nan, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686557675,"[1, 2, 3, 4, 5]","[nan, 37.98, nan, 29.78, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686558124,"[1, 2, 3, 4, 5]","[51.81, nan, 44.56, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686558556,"[1, 2, 3, 4, 5]","[51.73, nan, nan, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686559180,"[1, 2, 3, 4, 5]","[51.07, 38.05, 39.95, 23.78, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686559611,"[1, 2, 3, 4, 5]","[48.44, nan, nan, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686560076,"[1, 2, 3, 4, 5]","[46.03, nan, 44.71, 23.71, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686560492,"[1, 2, 3, 4, 5]","[42.88, nan, 44.12, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686560972,"[1, 2, 3, 4, 5]","[57.15, nan, 39.51, 29.41, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686561468,"[1, 2, 3, 4, 5]","[57.3, nan, 44.71, 29.56, 38.49]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686561964,"[1, 2, 3, 4, 5]","[54.44, nan, 44.64, 20.85, 37.39]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686562380,"[1, 2, 3, 4, 5]","[48.59, nan, 44.49, 29.71, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686562796,"[1, 2, 3, 4, 5]","[48.66, nan, 44.49, nan, 37.24]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686563371,"[1, 2, 3, 4, 5]","[57.3, 38.12, 44.42, 29.63, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686563852,"[1, 2, 3, 4, 5]","[57.37, nan, 44.49, 29.63, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686564332,"[1, 2, 3, 4, 5]","[57.37, nan, 44.71, 29.56, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686564827,"[1, 2, 3, 4, 5]","[57.37, 37.9, nan, 29.63, 37.61]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686565243,"[1, 2, 3, 4, 5]","[57.37, nan, 44.64, nan, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686565756,"[1, 2, 3, 4, 5]","[57.22, 37.83, 44.71, nan, 37.17]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686566236,"[1, 2, 3, 4, 5]","[48.73, nan, 44.56, 23.71, nan]","(4.189, 32.995999999999995, 3.348)"
A13B6,1729686566699,"[1, 2, 3, 4, 5]","[48.73, nan, 44.78, 23.63, nan]","(4.189, 32.995999999999995, 3.348)"
